seed,design,horizon_hours,horizon_steps,config_id,status,train_days,max_splits,data_interval,mae,rmse,smape,nmae,nrmse,skill_vs_persistence,valid_splits,elapsed_sec
42,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,2.0288967802549998,2.1362350479986456,32.9973544928238,1.1061575018620822,1.1932468546642887,0.5216713674404787,2,959.78
42,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,2.1154831341080134,2.2724015337537127,41.81106735496765,0.5427821003921367,0.5864263022250158,0.32988575628865874,2,736.62
42,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.7717856428044638,1.9902777873818494,36.84431945694003,0.41996891718277607,0.47798542366671265,0.17697809029410405,2,746.85
42,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.4273177463895481,1.7363989931156647,32.81980124439023,0.23593708808343034,0.2851998790761108,0.2703248193682311,2,772.1
42,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,2.2679833982810975,2.3819594038988936,37.53072855322735,1.2268209303693045,1.322102722061262,0.4705433515551298,2,331.22
42,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.4515954909562003,1.6545743938346538,28.652266574708335,0.3808846037725617,0.4373469191457351,0.5194150298011749,2,222.64
42,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,ok,30,2,5min,1.3681106177225113,1.6189987993087247,28.675532321700537,0.3421825698819353,0.4087305550943699,0.3216013523054001,2,220.26
42,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.3253665022736656,1.6049363047105212,30.70477416211375,0.2250327570276332,0.2704114560586999,0.2943684755461278,2,234.05
42,raw_lstm,1,12,raw_direct_lb24_u32_huber,ok,30,2,5min,0.685222143199126,0.9092941386540392,13.609087337494298,0.46406474709510814,0.6179055549936325,0.7895227430511738,2,31.09
42,raw_lstm,3,36,raw_direct_lb48_u64_huber,ok,30,2,5min,0.8303496406296691,0.9980889768549647,19.051892638210365,0.23049935208702532,0.27863255942273835,0.6940308318523478,2,97.31
42,raw_lstm,6,72,raw_direct_lb24_u32_huber,ok,30,2,5min,0.869785326584908,1.0903209331325345,20.47953648475826,0.22900015421579653,0.28748447305024055,0.5412514643914915,2,33.19
42,raw_lstm,12,144,raw_direct_lb24_u32_huber,ok,30,2,5min,1.0125747106546203,1.305473163314902,24.972728928605818,0.17820025093745068,0.23203461631731118,0.43127708900063494,2,42.27
123,lstm_compressed_lstm,1,12,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,2.58109698836263,2.6118039952838834,43.828983472621346,1.3810293219362035,1.3970957910090591,0.4056481532113343,2,526.66
123,lstm_compressed_lstm,3,36,lstmenc_c8_k12_seq8_u32_huber,ok,30,2,5min,2.148963268013424,2.33605773513199,42.473213851240274,0.5504222830218768,0.6043165996737665,0.32161801928076195,2,555.09
123,lstm_compressed_lstm,6,72,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,2.083196607102182,2.2897623880821856,44.43192897771288,0.4872388825952666,0.542210793919966,0.048005777360373814,2,598.46
123,lstm_compressed_lstm,12,144,lstmenc_c12_k16_seq12_u48_huber,ok,30,2,5min,1.5330885098308988,1.963706698475166,35.041124982353544,0.24812961726532828,0.322217897242923,0.24122832326018268,2,554.55
123,pca_compressed_lstm,1,12,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.943959809967041,2.056903038700105,34.725415412403436,1.1328915948033074,1.2243403337770877,0.5021959232457825,2,233.61
123,pca_compressed_lstm,3,36,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.613317425831053,1.7623326979084308,31.98317622023432,0.4222635839253226,0.4622382450542113,0.46846985762895565,2,256.0
123,pca_compressed_lstm,6,72,pca_c8_k12_seq8_u32_huber,ok,30,2,5min,1.315594553012424,1.5738746328375774,27.49131969459805,0.32793167400353673,0.3956568914490961,0.35031652665955454,2,244.52
123,pca_compressed_lstm,12,144,pca_c12_k16_seq12_u48_huber,ok,30,2,5min,1.4144514354751374,1.7137424577609652,32.69770367189533,0.23989829583817857,0.2877779964529157,0.24816694333039002,2,246.36
123,raw_lstm,1,12,raw_direct_lb24_u32_huber,ok,30,2,5min,0.6006444531851112,0.7523651893843106,12.832237628671649,0.4273238039265076,0.538415181699537,0.8043949374164489,2,45.21
123,raw_lstm,3,36,raw_direct_lb48_u64_huber,ok,30,2,5min,0.7573133122613914,0.9446948822432539,18.069009472312064,0.21292105958003693,0.2663099209958373,0.7143093073811806,2,101.21
123,raw_lstm,6,72,raw_direct_lb24_u32_huber,ok,30,2,5min,0.9218429663039678,1.1123817511491307,20.979284101828476,0.23896334301910285,0.2886418982227531,0.5227641089401797,2,41.15
123,raw_lstm,12,144,raw_direct_lb24_u32_huber,ok,30,2,5min,0.9770523630762855,1.227669415903503,23.98961320062477,0.17232519492171905,0.21788466567882595,0.44945185676574795,2,38.25
