design,horizon_hours,horizon_steps,config_id,config_json,config_source
raw_window_gb,1,12,hgb_regularized,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",KBOS validation selection
statistical_feature_gb,1,12,hgb_fast_shallow,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",KBOS validation selection
pca_embedding_gb,1,12,hgb_fast_shallow,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",KBOS validation selection
token_state_gb,1,12,hgb_balanced,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",KBOS validation selection
raw_window_gb,3,36,hgb_fast_shallow,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",KBOS validation selection
statistical_feature_gb,3,36,hgb_balanced,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",KBOS validation selection
pca_embedding_gb,3,36,hgb_balanced,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",KBOS validation selection
token_state_gb,3,36,hgb_deeper,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",KBOS validation selection
raw_window_gb,6,72,hgb_deeper,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",KBOS validation selection
statistical_feature_gb,6,72,hgb_deeper,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",KBOS validation selection
pca_embedding_gb,6,72,hgb_regularized,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",KBOS validation selection
token_state_gb,6,72,hgb_fast_shallow,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",KBOS validation selection
raw_window_gb,12,144,hgb_fast_shallow,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",KBOS validation selection
statistical_feature_gb,12,144,hgb_deeper,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",KBOS validation selection
pca_embedding_gb,12,144,hgb_regularized,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",KBOS validation selection
token_state_gb,12,144,hgb_fast_shallow,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",KBOS validation selection
