seed,design,horizon_hours,horizon_steps,config_id,valid_splits,mae,rmse,smape,nmae,nrmse,skill_vs_persistence
42,raw_window_gb,1,12,hgb_fast_shallow,2,0.5587032674492924,0.624100241324749,11.381189737014378,0.3882739999432698,0.43269166921966445,0.8230346680650918
123,raw_window_gb,1,12,hgb_fast_shallow,2,0.6634191637021493,0.7834084328305173,12.698095326936183,0.443314980827908,0.5257469480231503,0.7994558210049186
42,statistical_feature_gb,1,12,hgb_deeper,2,1.2704611901491925,1.3905136083684004,29.576062429992305,0.8820174224394246,0.9610458289834876,0.5980753145871385
123,statistical_feature_gb,1,12,hgb_deeper,2,1.1537264364564832,1.2873809935602822,25.3740005240257,0.7869352493590751,0.876810228469044,0.6425978126551664
42,pca_embedding_gb,1,12,hgb_deeper,2,1.041482566851454,1.1977995964446335,25.653855877978394,0.7589685017117178,0.8602698179177954,0.6510905450078639
123,pca_embedding_gb,1,12,hgb_deeper,2,0.9771622218989051,1.1518740868251491,24.865580024584595,0.729007145108135,0.84328983694081,0.6634932243153173
42,token_state_gb,1,12,hgb_deeper,2,0.7421713722272377,0.83542763766599,19.089904445374696,0.5716546887751577,0.6456005363589964,0.7347041290499177
123,token_state_gb,1,12,hgb_deeper,2,0.7253946506987087,0.8386233118242993,19.48285562527766,0.5729317190128167,0.6600661454979568,0.733022371273496
42,raw_window_gb,3,36,hgb_balanced,2,0.6655414387670688,0.8280894559291929,16.2984889723527,0.18846264021434211,0.23280740262190894,0.7456235833617743
123,raw_window_gb,3,36,hgb_balanced,2,0.6725525342198433,0.8471034613723306,16.703994368582798,0.19134837860510134,0.2395898821383755,0.7407283266637221
42,statistical_feature_gb,3,36,hgb_fast_shallow,2,1.1661090379353596,1.3886760514439387,23.836651453038307,0.3116003932928425,0.37313531594851346,0.6000917441466617
123,statistical_feature_gb,3,36,hgb_fast_shallow,2,1.0314314356681464,1.230892522884297,21.77133159430392,0.27893770039342936,0.3338641010034159,0.6380967205080763
42,pca_embedding_gb,3,36,hgb_deeper,2,0.8327639407733061,1.0385827487357082,23.407517358034653,0.2427085225241703,0.3003990902423326,0.6647478783224462
123,pca_embedding_gb,3,36,hgb_deeper,2,0.8492753970129642,1.0620053086548777,23.157759167698917,0.2452982268206695,0.3054824006711117,0.6635696400590904
42,token_state_gb,3,36,hgb_fast_shallow,2,0.9874536834845149,1.1690286460694708,21.722466294781057,0.2711117658963771,0.31979386877171845,0.6435192302121843
123,token_state_gb,3,36,hgb_fast_shallow,2,0.8714538091337679,1.0546698488074069,19.566031161067848,0.24078229455600197,0.2901438922861713,0.6816585379235238
42,raw_window_gb,6,72,hgb_regularized,2,0.7372171804696726,0.9163724087524259,17.436024225557098,0.19887823984223485,0.24456690966922895,0.5997138701124954
123,raw_window_gb,6,72,hgb_regularized,2,0.683848787436877,0.8405506120257082,16.262069926716364,0.18381536893794012,0.22344738192137625,0.6302866700812182
42,statistical_feature_gb,6,72,hgb_deeper,2,0.703676754424752,0.8528404974516308,16.242657040360317,0.186960206606458,0.22545493332201508,0.6248027848968258
123,statistical_feature_gb,6,72,hgb_deeper,2,0.7632996426139871,0.9547809370996152,16.995149401410334,0.19780800243278424,0.24689208782547215,0.6049786558896721
42,pca_embedding_gb,6,72,hgb_deeper,2,0.8684858019941867,1.058826137129656,24.641941094296314,0.24633597325290738,0.29701195733256547,0.4995725212824979
123,pca_embedding_gb,6,72,hgb_deeper,2,0.94818565877425,1.1385268500292314,26.164234811941036,0.2648540792351587,0.31519615156391295,0.46344521615538886
42,token_state_gb,6,72,hgb_balanced,2,0.7433481554837624,0.9440120873433477,16.852556529476153,0.19534999057062827,0.24698507453010926,0.6088038109635989
123,token_state_gb,6,72,hgb_balanced,2,0.7976248830458703,1.0227684279831828,17.475858390311704,0.20636883214098073,0.26204923965029936,0.5880163532539527
42,raw_window_gb,12,144,hgb_balanced,2,1.1086741621182243,1.3392955682632584,26.8132935854006,0.1961143170792813,0.234913650543554,0.3725734278770919
123,raw_window_gb,12,144,hgb_balanced,2,1.0564915154710766,1.3179266563096634,25.96099626517856,0.1879386943942104,0.23262522642664424,0.39712526109017976
42,statistical_feature_gb,12,144,hgb_deeper,2,1.0359178423360014,1.279233143602609,25.580674777389945,0.18676261221165982,0.22844914051947557,0.3971420803057585
123,statistical_feature_gb,12,144,hgb_deeper,2,1.0109444792861437,1.249222289012316,25.043596196231498,0.1800905556743657,0.22087147587966388,0.42191633923981914
42,pca_embedding_gb,12,144,hgb_fast_shallow,2,1.1806602270370434,1.503265358998799,30.362289765998376,0.20921290023308453,0.2659513277977623,0.3301123478505536
123,pca_embedding_gb,12,144,hgb_fast_shallow,2,1.2272177061288378,1.5604324265563985,32.08755969163667,0.21796197397908618,0.27617085043028144,0.30134067194328995
42,token_state_gb,12,144,hgb_deeper,2,1.1305868704413848,1.3598976559168183,26.75129078268253,0.19597245079224862,0.2348519575003705,0.37913751097960385
123,token_state_gb,12,144,hgb_deeper,2,1.0857736622236116,1.3507327784349727,25.540233432346,0.18589526122440078,0.23170048705368118,0.41464708661731375
