seed,design,horizon_hours,horizon_steps,config_id,split_id,cutoff,elapsed_sec,mae,rmse,smape,nmae,nrmse,nrmse_std,nmse,baseline_mae,skill_vs_persistence
42,raw_window_gb,1,12,hgb_fast_shallow,1,2024-01-31 05:00:00,3.23,0.4805553021159385,0.5325645819908301,15.581246972922777,0.46706279217557073,0.5176118119667352,1.0352236239334704,1.0716879515499471,2.1435166666666667,0.775809859860316
42,raw_window_gb,1,12,hgb_fast_shallow,2,2024-12-18 05:00:00,3.08,0.6368512327826464,0.7156359006586678,7.181132501105976,0.3094852077109688,0.3477715264725937,0.9892439265343016,0.9786035461850027,4.908653166666667,0.8702594762698677
123,raw_window_gb,1,12,hgb_fast_shallow,1,2024-01-31 05:00:00,3.14,0.49764752857195943,0.5969220377695368,16.135075942425345,0.4836751216575172,0.5801623089875059,1.1603246179750117,1.3463532190788567,2.1435166666666667,0.7678359417127018
123,raw_window_gb,1,12,hgb_fast_shallow,2,2024-12-18 05:00:00,3.09,0.8291907988323391,0.9698948278914977,9.26111471144702,0.4029548399982988,0.4713315870587945,1.3407132970629494,1.7975121449214044,4.908653166666667,0.8310757002971355
42,statistical_feature_gb,1,12,hgb_deeper,1,2024-01-31 05:00:00,1.71,1.0890661866570335,1.174206866827849,41.57243306672911,1.0584885688792498,1.1412387614860404,2.282477522972081,5.209703642872765,2.1435166666666667,0.49192548717498863
42,statistical_feature_gb,1,12,hgb_deeper,2,2024-12-18 05:00:00,1.44,1.4518561936413512,1.6068203499089517,17.5796917932555,0.7055462759995993,0.7808528964809348,2.221153621158678,4.933523408786307,4.908653166666667,0.7042251419992884
123,statistical_feature_gb,1,12,hgb_deeper,1,2024-01-31 05:00:00,1.51,0.9312200664572727,1.0337961022756659,34.117788616757274,0.9050742806381967,1.004770297909652,2.009540595819304,4.038253406245804,2.1435166666666667,0.5655643454963399
123,statistical_feature_gb,1,12,hgb_deeper,2,2024-12-18 05:00:00,1.45,1.376232806455694,1.5409658848448986,16.630212431294126,0.6687962180799534,0.748850159028436,2.1301211149081953,4.537415964177733,4.908653166666667,0.7196312798139928
42,pca_embedding_gb,1,12,hgb_deeper,1,2024-01-31 05:00:00,1.18,1.0406092014537551,1.1448859767819515,39.102740111351004,1.011392106287327,1.1127411115514534,2.2254822231029068,4.952771125347056,2.1435166666666667,0.5145317892085652
42,pca_embedding_gb,1,12,hgb_deeper,2,2024-12-18 05:00:00,1.08,1.042355932249153,1.2507132161073153,12.204971644605784,0.5065448971361086,0.6077985242841376,1.7288965683968296,2.989083344214332,4.908653166666667,0.7876493008071626
123,pca_embedding_gb,1,12,hgb_deeper,1,2024-01-31 05:00:00,1.09,1.0459423702662642,1.1668550013511252,39.24166792657302,1.0165755361771782,1.1340933137048206,2.268186627409641,5.144670576759922,2.1435166666666667,0.5120437428625975
123,pca_embedding_gb,1,12,hgb_deeper,2,2024-12-18 05:00:00,1.04,0.9083820735315461,1.1368931722991729,10.489492122596172,0.44143875403909183,0.5524863601767992,1.5715598739249053,2.469800437330864,4.908653166666667,0.8149427057680373
42,token_state_gb,1,12,hgb_deeper,1,2024-01-31 05:00:00,0.94,0.8683318532435017,0.9861473032813597,31.260937496820212,0.8439517743850661,0.9584593301519309,1.9169186603038617,3.674577150221152,2.1435166666666667,0.5949031484841554
42,token_state_gb,1,12,hgb_deeper,2,2024-12-18 05:00:00,0.92,0.6160108912109737,0.6847079720506204,6.918871393929182,0.29935760316524923,0.33274174256606187,0.9464913682743853,0.895845910217918,4.908653166666667,0.87450510961568
123,token_state_gb,1,12,hgb_deeper,1,2024-01-31 05:00:00,0.92,0.9071409806492182,1.0392899215878082,32.872707706052495,0.8816712612541097,1.0101098677288571,2.0202197354577143,4.081287779532837,2.1435166666666667,0.576797794795461
123,token_state_gb,1,12,hgb_deeper,2,2024-12-18 05:00:00,0.93,0.5436483207481991,0.6379567020607904,6.093003544502825,0.26419217677152385,0.31002242326705653,0.8818657536949073,0.7776872075398866,4.908653166666667,0.889246947751531
42,raw_window_gb,3,36,hgb_balanced,1,2024-01-31 05:00:00,10.41,0.6605181425540826,0.7802490932772566,23.76837816359426,0.2139909438001942,0.2527807021681844,0.9192494502319895,0.845019551751815,2.072066111111112,0.6812272838721745
42,raw_window_gb,3,36,hgb_balanced,2,2024-12-18 05:00:00,10.65,0.6705647349800551,0.8759298185811294,8.828599781111139,0.16293433662849,0.2128341030756335,0.7840500898976718,0.6147345434685472,3.529657444444444,0.810019882851374
123,raw_window_gb,3,36,hgb_balanced,1,2024-01-31 05:00:00,10.65,0.6897100082708323,0.833646943452149,24.816806523266063,0.22344835987034298,0.270080236608892,0.9821600576774474,0.9646383788969668,2.072066111111112,0.6671389951124072
123,raw_window_gb,3,36,hgb_balanced,2,2024-12-18 05:00:00,10.82,0.6553950601688542,0.8605599792925123,8.591182213899534,0.1592483973398597,0.209099527667859,0.770292453589008,0.593350464056174,3.529657444444444,0.8143176582150371
42,statistical_feature_gb,3,36,hgb_fast_shallow,1,2024-01-31 05:00:00,0.9,0.6977915032907084,0.8818904662715865,24.95335275471588,0.22606655706312978,0.28570990113325795,1.038998101080676,1.0795170540492505,2.072066111111112,0.6632387841236553
42,statistical_feature_gb,3,36,hgb_fast_shallow,2,2024-12-18 05:00:00,0.98,1.634426572580011,1.8954616366162906,22.71995015136073,0.3971342295225552,0.46056073076376897,1.6966391999234622,2.878584574716926,3.529657444444444,0.536944704169668
123,statistical_feature_gb,3,36,hgb_fast_shallow,1,2024-01-31 05:00:00,1.0,0.6993070503685943,0.8588552743710798,25.02171705387099,0.22655755546071563,0.27824708953455246,1.0118592198272698,1.0238590807494514,2.072066111111112,0.6625073658213977
123,statistical_feature_gb,3,36,hgb_fast_shallow,2,2024-12-18 05:00:00,0.96,1.3635558209676988,1.6029297713975141,18.52094613473685,0.3313178453261431,0.3894811124722794,1.434792154238635,2.058628525864743,3.529657444444444,0.6136860751947548
