design,horizon_hours,horizon_steps,config_id,mae,rmse,n_tuning_splits,config_json,elapsed_sec
raw_window_gb,1,12,hgb_fast_shallow,0.399247471419224,0.5023789191483606,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",7.57
raw_window_gb,1,12,hgb_balanced,0.49144093813339945,0.5779098220676482,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",14.37
raw_window_gb,1,12,hgb_deeper,0.5640709828257047,0.663709224583823,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",32.54
raw_window_gb,1,12,hgb_regularized,0.6360973490179668,0.7196271180144153,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",18.7
statistical_feature_gb,1,12,hgb_deeper,0.5706578132061072,0.645667986236999,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",4.08
statistical_feature_gb,1,12,hgb_balanced,0.7440554284323269,0.789882990720285,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.62
statistical_feature_gb,1,12,hgb_fast_shallow,0.7927355014912087,0.8517142767806782,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.98
statistical_feature_gb,1,12,hgb_regularized,1.2086836266863499,1.2455581463673964,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",3.19
pca_embedding_gb,1,12,hgb_deeper,0.335584692385931,0.4471054988882535,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",2.08
pca_embedding_gb,1,12,hgb_balanced,0.34356947259941745,0.48910577868502814,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",1.34
pca_embedding_gb,1,12,hgb_fast_shallow,0.4176984283298806,0.49165914156517687,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.52
pca_embedding_gb,1,12,hgb_regularized,0.44324436007774004,0.5863260629886399,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",1.56
token_state_gb,1,12,hgb_deeper,0.7447718468396501,0.8763948076102703,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",1.88
token_state_gb,1,12,hgb_fast_shallow,1.0052766831824316,1.1535823517663892,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.5
token_state_gb,1,12,hgb_balanced,1.1836122224866903,1.3661229260831604,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",1.19
token_state_gb,1,12,hgb_regularized,1.2100416368278486,1.3673553764684943,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",1.37
raw_window_gb,3,36,hgb_balanced,1.5863962413800359,2.074261503396394,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",20.71
raw_window_gb,3,36,hgb_deeper,1.6435243841475318,2.0876183786931906,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",47.78
raw_window_gb,3,36,hgb_regularized,1.8452133983147525,2.3022505964468243,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",33.24
raw_window_gb,3,36,hgb_fast_shallow,1.9992044538742397,2.4005762291984034,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",8.85
statistical_feature_gb,3,36,hgb_fast_shallow,1.2001220627017064,1.4914884119253708,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.31
statistical_feature_gb,3,36,hgb_deeper,1.208219323270474,1.576363303039745,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",6.98
statistical_feature_gb,3,36,hgb_regularized,1.2826230524250333,1.7063727747087871,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",3.64
statistical_feature_gb,3,36,hgb_balanced,1.3610783327343126,1.803678156423618,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.72
pca_embedding_gb,3,36,hgb_deeper,1.1779404155988673,1.6053059901466975,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",4.58
pca_embedding_gb,3,36,hgb_regularized,1.2243337050019698,1.641722141146286,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",3.24
pca_embedding_gb,3,36,hgb_balanced,1.3065311936740678,1.7288172957684322,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.74
pca_embedding_gb,3,36,hgb_fast_shallow,1.3145106824222896,1.7390630658889983,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.35
token_state_gb,3,36,hgb_fast_shallow,1.1954691972041311,1.6201845161644184,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",1.05
