design,horizon_hours,horizon_steps,config_id,mae,rmse,n_tuning_splits,config_json,elapsed_sec
raw_window_gb,1,12,hgb_regularized,0.7593901836464171,0.9057957805835023,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",47.01
raw_window_gb,1,12,hgb_deeper,0.8730424917539463,1.007653124455175,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",69.63
raw_window_gb,1,12,hgb_fast_shallow,0.8838040691013509,1.0162190603357177,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",19.64
raw_window_gb,1,12,hgb_balanced,0.9146485165098012,1.0520500359995018,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",39.04
statistical_feature_gb,1,12,hgb_fast_shallow,0.5851494094303721,0.6714261163346429,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.99
statistical_feature_gb,1,12,hgb_regularized,0.6383535916046241,0.7551179287865187,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",9.17
statistical_feature_gb,1,12,hgb_balanced,0.6702845203024936,0.7861040333704024,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",6.68
statistical_feature_gb,1,12,hgb_deeper,0.7130719792915171,0.870764326354196,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",13.47
pca_embedding_gb,1,12,hgb_fast_shallow,0.6715322185499147,0.8109682763405495,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.0
pca_embedding_gb,1,12,hgb_balanced,0.6827729136215575,0.8293164191770785,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",3.79
pca_embedding_gb,1,12,hgb_regularized,0.7072395186859579,0.8736874903280423,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",10.23
pca_embedding_gb,1,12,hgb_deeper,0.717386045125199,0.8688725491800477,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",6.1
token_state_gb,1,12,hgb_balanced,0.53555016480226,0.6262440373272482,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",2.33
token_state_gb,1,12,hgb_deeper,0.5551659026002193,0.6678076284395046,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",12.86
token_state_gb,1,12,hgb_regularized,0.5598506971477076,0.6619355400337887,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",5.81
token_state_gb,1,12,hgb_fast_shallow,0.5655876120707992,0.6779515187587357,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",0.86
raw_window_gb,3,36,hgb_fast_shallow,1.2260448340591077,1.400022622531352,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",29.45
raw_window_gb,3,36,hgb_regularized,1.2646209188374224,1.432219433018162,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",53.82
raw_window_gb,3,36,hgb_balanced,1.3104859082793527,1.4753564538712016,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",61.33
raw_window_gb,3,36,hgb_deeper,1.3193371240977496,1.4799017897004103,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",62.99
statistical_feature_gb,3,36,hgb_balanced,1.2135722067734576,1.3845433577109043,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",7.17
statistical_feature_gb,3,36,hgb_deeper,1.2315622628843412,1.4091594949804191,2,"{""config_id"": ""hgb_deeper"", ""l2_regularization"": 0.03, ""learning_rate"": 0.05, ""max_iter"": 180, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 40}",13.46
statistical_feature_gb,3,36,hgb_regularized,1.2341499863111522,1.4062071108360934,2,"{""config_id"": ""hgb_regularized"", ""l2_regularization"": 0.1, ""learning_rate"": 0.04, ""max_iter"": 220, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 80}",11.72
statistical_feature_gb,3,36,hgb_fast_shallow,1.2860848028263405,1.4588889512745888,2,"{""config_id"": ""hgb_fast_shallow"", ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 40}",2.32
pca_embedding_gb,3,36,hgb_balanced,1.1864627071370886,1.3327158746004288,2,"{""config_id"": ""hgb_balanced"", ""l2_regularization"": 0.01, ""learning_rate"": 0.06, ""max_iter"": 160, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40}",4.67
